,EMB_ID,PROD_ID,NR_REGISTO,DESCR,GRUPO_HOM_COD,QUANT_TOT,UNID_QUANT_TOT_ID,QUANTIDADE,UNID_QUANT_ID,TIPO_EMB_ID,ACOND_PRIMARIO_ID,TIPO_TRATAMENTO_ID,ESTADO_EMB_ID,IND_EMB_UNITARIA,IND_EMB_HOSPITALAR,IND_DISP_SEGURANCA,PEM_AMB,PEM_AMB_MS,PEM_AMB_BIO,PEM_AMB_BIO_MS,CNPEM,CHNM_COD,CDM,REFERENCIA,CARACT_ESPECIFICAS,Dosagem,Nome,ind_generico,form_farm_descr,Forma_farm_id,tipo_emb_descr,Tipo_prod_descr,Grupo_hom_descr,Estado_AIM_descr,Class_Disp_descr,Titular_AIM_descr,ATC_DESCR,ATC_CODE,DCIPT_descr,DCIPT_ID,full_name,numerator_value,numerator_unit,denominator_value,denominator_unit,DCIPT_descr_parse,routes_id,routes_descr
0,384,212,9686105,Frasco conta-gotas - 1 unidade(s) - 10 ml,GH0000,1.0,32,10.0,12.0,,3,1,0,N,N,N,S,S,N,N,50000829.0,10043765,,,,0.25 mg/ml,Alerjon,N,"Colírio, solução",123,,Medicamento Uso Humano,,Autorizado,MNSRM,"Laboratório Edol - Produtos Farmacêuticos, S.A.",oxymetazoline,S01GA04,Oximetazolina,883,"Alerjon 0.25 mg/ml Colírio, solução Frasco conta-gotas - 1 unidade(s) - 10 ml",0.25,mg,1,ml,Oximetazolina,47,Uso oftálmico
1,747,446,9936302,Blister - 20 unidade(s),GH0000,20.0,32,,,,7,1,0,N,N,N,N,N,N,N,50001981.0,10002512,,,,500 mg,Febridol,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MNSRM,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",paracetamol,N02BE01,Paracetamol,95,Febridol 500 mg Comprimido Blister - 20 unidade(s),500,mg,,,Paracetamol,48,Via oral
2,748,446,9936310,Blister - 4 unidade(s),GH0000,4.0,32,,,,7,1,0,N,N,N,N,N,N,N,50001990.0,10002512,,,,500 mg,Febridol,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MNSRM,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",paracetamol,N02BE01,Paracetamol,95,Febridol 500 mg Comprimido Blister - 4 unidade(s),500,mg,,,Paracetamol,48,Via oral
3,808,487,9517813,Ampola - 1 unidade(s) - 6 ml,GH0000,1.0,32,6.0,12.0,,1,1,0,S,N,S,N,N,N,N,50179411.0,10059919,,,,750 mg/6 ml,Antibioxime,N,Pó e solvente para solução injetável,212,,Medicamento Uso Humano,,Autorizado,MSRM,"Laboratórios Atral, S.A.",cefuroxime,J01DC02,Cefuroxima,31,Antibioxime 750 mg/6 ml Pó e solvente para solução injetável Ampola - 1 unidade(s) - 6 ml,750,mg,6,ml,Cefuroxima,42;30,Via intravenosa;Via intramuscular
4,809,488,9517821,Ampola - 1 unidade(s) - 15 ml,GH0000,1.0,32,15.0,12.0,,1,1,0,S,N,S,N,N,N,N,50002163.0,10039795,,,,1500 mg/15 ml,Antibioxime,N,Pó e solvente para solução injetável,212,,Medicamento Uso Humano,,Autorizado,MSRM,"Laboratórios Atral, S.A.",cefuroxime,J01DC02,Cefuroxima,31,Antibioxime 1500 mg/15 ml Pó e solvente para solução injetável Ampola - 1 unidade(s) - 15 ml,1500,mg,15,ml,Cefuroxima,42,Via intravenosa
5,837,508,2553089,Blister - 98 unidade(s),GH0000,98.0,32,,,,7,2,0,N,N,S,N,N,N,N,50002180.0,10037335,,,,75 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 75 mg Comprimido Blister - 98 unidade(s),75,mg,,,Irbesartan,48,Via oral
6,838,508,2552883,Blister - 28 unidade(s),GH0000,28.0,32,,,,7,2,0,N,N,S,N,N,N,N,50002198.0,10037335,,,,75 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 75 mg Comprimido Blister - 28 unidade(s),75,mg,,,Irbesartan,48,Via oral
7,839,508,2552982,Blister - 56 unidade(s),GH0000,56.0,32,,,,7,2,0,N,N,S,N,N,N,N,50002201.0,10037335,,,,75 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 75 mg Comprimido Blister - 56 unidade(s),75,mg,,,Irbesartan,48,Via oral
8,840,509,2553188,Blister - 28 unidade(s),GH0674,28.0,32,,,,7,2,0,N,N,S,S,S,N,N,50002228.0,10037342,,,,150 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,Irbesartan | A101 | Oral | 150 mg | [21-60] unidades,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 150 mg Comprimido Blister - 28 unidade(s),150,mg,,,Irbesartan,48,Via oral
9,841,509,2553386,Blister - 98 unidade(s),GH0000,98.0,32,,,,7,2,0,N,N,S,N,N,N,N,50002236.0,10037342,,,,150 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 150 mg Comprimido Blister - 98 unidade(s),150,mg,,,Irbesartan,48,Via oral
10,842,509,2553287,Blister - 56 unidade(s),GH0000,56.0,32,,,,7,2,0,N,N,S,N,N,N,N,50002244.0,10037342,,,,150 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 150 mg Comprimido Blister - 56 unidade(s),150,mg,,,Irbesartan,48,Via oral
11,843,510,2553584,Blister - 56 unidade(s),GH0000,56.0,32,,,,7,2,0,N,N,S,N,N,N,N,50002260.0,10028400,,,,300 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 300 mg Comprimido Blister - 56 unidade(s),300,mg,,,Irbesartan,48,Via oral
12,844,510,2553485,Blister - 28 unidade(s),GH0675,28.0,32,,,,7,2,0,N,N,S,S,S,N,N,50002279.0,10028400,,,,300 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,Irbesartan | A101 | Oral | 300 mg | [21-60] unidades,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 300 mg Comprimido Blister - 28 unidade(s),300,mg,,,Irbesartan,48,Via oral
13,845,510,2553683,Blister - 98 unidade(s),GH0000,98.0,32,,,,7,2,0,N,N,S,N,N,N,N,50002287.0,10028400,,,,300 mg,Aprovel,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Sanofi-Aventis Groupe, S.A.",irbesartan,C09CA04,Irbesartan,1716,Aprovel 300 mg Comprimido Blister - 98 unidade(s),300,mg,,,Irbesartan,48,Via oral
14,1146,675,9735100,Blister - 20 unidade(s),GH0000,20.0,32,,,,7,1,0,N,N,N,S,S,N,N,50001981.0,10002512,,,,500 mg,Atralidon,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MNSRM,"Laboratórios Atral, S.A.",paracetamol,N02BE01,Paracetamol,95,Atralidon 500 mg Comprimido Blister - 20 unidade(s),500,mg,,,Paracetamol,48,Via oral
15,1480,887,8168500,Blister - 10 unidade(s),GH0000,10.0,32,,,,7,1,0,N,N,S,S,S,N,N,50003429.0,10002868,,,,125 mg,Ben-U-Ron,N,Supositório,186,,Medicamento Uso Humano,,Autorizado,MSRM,"Bene Farmacêutica, Lda.",paracetamol,N02BE01,Paracetamol,95,Ben-U-Ron 125 mg Supositório Blister - 10 unidade(s),125,mg,,,Paracetamol,54,Via retal
16,1481,888,8168518,Blister - 10 unidade(s),GH0000,10.0,32,,,,7,1,0,N,N,S,S,S,N,N,50003437.0,10002890,,,,250 mg,Ben-U-Ron,N,Supositório,186,,Medicamento Uso Humano,,Autorizado,MSRM,"Bene Farmacêutica, Lda.",paracetamol,N02BE01,Paracetamol,95,Ben-U-Ron 250 mg Supositório Blister - 10 unidade(s),250,mg,,,Paracetamol,54,Via retal
17,1482,889,8168526,Blister - 10 unidade(s),GH0000,10.0,32,,,,7,1,0,N,N,N,S,S,N,N,50003445.0,10002932,,,,500 mg,Ben-U-Ron,N,Supositório,186,,Medicamento Uso Humano,,Autorizado,MNSRM,"Bene Farmacêutica, Lda.",paracetamol,N02BE01,Paracetamol,95,Ben-U-Ron 500 mg Supositório Blister - 10 unidade(s),500,mg,,,Paracetamol,54,Via retal
